,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,100.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,101.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,in fase di stipula contratto,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,102.0,,consorzio cooperative socialidi solidariet s.c.s. a r.l. sistema imprese sociali via marco aurelio 820127 milano,terreno,,,,,progetto sociale,,complesso immobiliare,via santarialdo,
Catania,103.0,,"associazione di volontariato vittime del doverevia correggio, 5920900 monza mbc.f. 94605940157",6 vani,,3,,,progetto sociale,,abitazione,via santa marcellina,
Catania,104.0,,"associazione di volontariato vittime del doverevia correggio, 5920900 monza mbc.f. 94605940157",17 mq.,,3,,,progetto sociale,,box,via santa marcellina,
Catania,105.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,17 mq,,6,,,progetto sociale,,box,via santa marcellina,
Catania,106.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,6 vani,,6,,,progetto sociale,,abitazione,viale sarca,
Catania,107.0,,associazione di volontariato cam centro ausiliario per i problemi minorilivia leopardi 2120123 milano,2 vani,,5,,,progetto sociale,,abitazione,via serio,
Catania,108.0,,societ cooperativa sociale comunit progetto a r.l.via soperga 1320127 milano,3 vani,,10,,,progetto sociale,,abitazione,via serra renato,
Catania,109.0,,associazione comunit nuova onlus via f. gonin 820147 milano,"2,5 vani",,10,,,progetto sociale,,abitazione,via sommacampagna,
Catania,110.0,,cooperativa sociale saman lavorovia bolzano 2620127 milano,22 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,111.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,112.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,113.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,114.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,115.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,116.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,117.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,118.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,119.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,13 mq,,10,,,progetto sociale,,box,via torre c.,
Catania,120.0,,societ cooperativa sociale di solidariet omnicoopvia basilea 420152 milano,23 mq,,10,,,progetto sociale,,box,via torre c.,
